simplified	traditional	pronunciation	meaning	hsklevel
俊	㑺	jun4	old variant of 俊[jun4]	7-9
却	㕁	que4	old variant of 卻|却[que4]	4
以	㕥	yi3	old variant of 以[yi3]	7-9
最	㝡	zui4	variant of 最[zui4]	1
岸	㟁	an4	variant of 岸[an4]	5
岛	㠀	dao3	variant of 島|岛[dao3]	6
以	㠯	yi3	old variant of 以[yi3]	7-9
帆	㠶	fan1	variant of 帆[fan1]	7-9
拿	㧱	na2	old variant of 拿[na2]	1
晃	㨪	huang3	variant of 晃[huang3]	7-9
据	㨿	ju4	variant of 據|据[ju4]	6
散	㪚	san4	variant of 散[san4]	5
暖	㬉	nuan3	old variant of 暖[nuan3]	5
法	㳒	fa3	variant of 法[fa3]	4
深	㴱	shen1	old variant of 深[shen1]	3
碗	㼝	wan3	variant of 碗[wan3]	2
留	㽞	liu2	old variant of 留[liu2]	2
糊	䊀	hu2	variant of 糊[hu2]	7-9
词	䛐	ci2	old variant of 詞|词[ci2]	2
趟	䠀	tang1	old variant of 趟[tang1]	6
射	䠶	she4	old variant of 射[she4]	5
驮	䭾	tuo2	variant of 馱|驮[tuo2]	7-9
魂	䰟	hun2	old variant of 魂[hun2]	7-9
鹅	䳘	e2	variant of 鵝|鹅[e2]	7-9
一	一	yi1	one; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit	1
一一	一一	yi1 yi1	one by one; one after another	7-9
一下儿	一下兒	yi1 xia4 r5	erhua form of 一下[yi1 xia4]	1
一下子	一下子	yi1 xia4 zi5	in a short while; all at once; all of a sudden	5
一不小心	一不小心	yi1 bu4 xiao3 xin1	to be a little bit careless; to have a moment of inattentiveness; accidentally	7-9
一干二净	一乾二淨	yi1 gan1 er4 jing4	thoroughly (idiom); completely; one and all; very clean	7-9
一事无成	一事無成	yi1 shi4 wu2 cheng2	(idiom) to have achieved nothing; to be a total failure; to get nowhere	7-9
一些	一些	yi1 xie1	some; a few; a little; (following an adjective) slightly ...er	1
一代	一代	yi1 dai4	an era; an age; a generation	6
一个劲儿	一個勁兒	yi1 ge4 jin4 r5	erhua variant of 一個勁|一个劲[yi1 ge4 jin4]	7-9
一共	一共	yi1 gong4	in total; altogether	2
一再	一再	yi1 zai4	repeatedly	4
一切	一切	yi1 qie4	everything; every; all	3
一刹那	一剎那	yi1 cha4 na4	a moment; an instant; in a flash	7-9
一动不动	一動不動	yi1 dong4 bu4 dong4	motionless	7-9
一半	一半	yi1 ban4	half	1
一卡通	一卡通	Yi1 ka3 tong1	the name of various contactless smart cards, notably Yikatong (mainly for public transport in Beijing) and iPASS (mainly for public transport in Taiwan)	7-9
一口气	一口氣	yi1 kou3 qi4	one breath; in one breath; at a stretch	5
一句话	一句話	yi1 ju4 hua4	in a word; in short	5
一同	一同	yi1 tong2	together	6
一向	一向	yi1 xiang4	a period of time in the recent past; (indicating a period of time up to the present) all along; the whole time	5
一味	一味	yi1 wei4	persistently; stubbornly; blindly	7-9
一回事	一回事	yi1 hui2 shi4	one and the same (thing); one thing (as distinct from another)	7-9
一块儿	一塊兒	yi1 kuai4 r5	erhua variant of 一塊|一块[yi1 kuai4]	1
一塌糊涂	一塌糊塗	yi1 ta1 hu2 tu5	muddled and completely collapsing (idiom); in an awful condition; complete shambles; a total mess	7-9
一大早	一大早	yi1 da4 zao3	at dawn; at first light; first thing in the morning	7-9
一天到晚	一天到晚	yi1 tian1 dao4 wan3	all day long; the whole day	7-9
一如既往	一如既往	yi1 ru2 ji4 wang3	(idiom) just as in the past; as before; continuing as always	7-9
一定	一定	yi1 ding4	surely; certainly; definitely; fixed; settled; a certain ...; a given ...	2
一家人	一家人	yi1 jia1 ren2	the whole family; members of the same family (lit. or fig.)	7-9
一帆风顺	一帆風順	yi1 fan1 feng1 shun4	propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!	7-9
一带	一帶	yi1 dai4	region; area	5
一年到头	一年到頭	yi1 nian2 dao4 tou2	all year round	7-9
一度	一度	yi1 du4	for a time; at one time; one time; once	7-9
一律	一律	yi1 lu:4	same; identical; uniformly; all; without exception	4
一心	一心	yi1 xin1	wholeheartedly; heart and soul	7-9
一心一意	一心一意	yi1 xin1 yi1 yi4	concentrating one's thoughts and efforts; single-minded; bent on; intently	7-9
一应俱全	一應俱全	yi1 ying1 ju4 quan2	with everything needed available	7-9
一成不变	一成不變	yi1 cheng2 bu4 bian4	(idiom) immutable; impervious to change; set in stone	7-9
一手	一手	yi1 shou3	a skill; mastery of a trade; by oneself; without outside help	7-9
一技之长	一技之長	yi1 ji4 zhi1 chang2	proficiency in a particular field (idiom); skill in a specialized area (idiom)	7-9
一把手	一把手	yi1 ba3 shou3	working hand; member of a work team; participant; the boss (short form of 第一把手[di4 yi1 ba3 shou3])	7-9
一揽子	一攬子	yi1 lan3 zi5	all-inclusive; undiscriminating	7-9
一方面	一方面	yi1 fang1 mian4	on the one hand	3
一旁	一旁	yi1 pang2	aside; to the side of	7-9
一旦	一旦	yi1 dan4	in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day	5
一早	一早	yi1 zao3	early in the morning; at dawn	7-9
一时	一時	yi1 shi2	a period of time; a while; for a short while; temporary; momentary; at the same time	6
一晃	一晃	yi1 huang3	(of passing time) in an instant; (of a sight) in a flash	7-9
一会儿	一會兒	yi1 hui4 r5	a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5]	1
一概	一概	yi1 gai4	all; without any exceptions; categorically	7-9
一概而论	一概而論	yi1 gai4 er2 lun4	to lump different matters together (idiom)	7-9
一模一样	一模一樣	yi1 mu2 yi1 yang4	(idiom) exactly alike; identical; also pr. [yi1mo2-yi1yang4]	6
一样	一樣	yi1 yang4	same; like; equal to; the same as; just like	1
一次性	一次性	yi1 ci4 xing4	one-off (offer); one-time; single-use; disposable (goods)	6
一毛不拔	一毛不拔	yi1 mao2 bu4 ba2	lit. unwilling to spare a single hair (idiom); fig. extremely stingy	7-9
一流	一流	yi1 liu2	top quality; front ranking	5
一无所有	一無所有	yi1 wu2 suo3 you3	not having anything at all (idiom); utterly lacking; without two sticks to rub together	7-9
一无所知	一無所知	yi1 wu2 suo3 zhi1	(idiom) not knowing anything at all; completely ignorant	7-9
一生	一生	yi1 sheng1	all one's life; throughout one's life	2
一目了然	一目了然	yi1 mu4 liao3 ran2	obvious at a glance (idiom)	7-9
一目了然	一目瞭然	yi1 mu4 liao3 ran2	obvious at a glance (idiom)	7-9
一直	一直	yi1 zhi2	straight (in a straight line); continuously; always; all the way through	2
一眼	一眼	yi1 yan3	a glance; a quick look; a glimpse	7-9
一瞬间	一瞬間	yi1 shun4 jian1	split second	7-9
一筹莫展	一籌莫展	yi1 chou2 mo4 zhan3	to be unable to find a solution; to be at wits' end	7-9
一系列	一系列	yi1 xi4 lie4	a series of; a string of	7-9
一经	一經	yi1 jing1	as soon as; once (an action has been completed)	7-9
一线	一線	yi1 xian4	front line	7-9
一声不吭	一聲不吭	yi1 sheng1 bu4 keng1	to not say a word	7-9
一致	一致	yi1 zhi4	consistent; unanimous; in agreement; together; in unison	4
一举	一舉	yi1 ju3	a move; an action; in one move; at a stroke; in one go	7-9
一举一动	一舉一動	yi1 ju3 yi1 dong4	(idiom) every movement; each and every move	7-9
一般	一般	yi1 ban1	same; ordinary; so-so; common; general; generally; in general	2
一般来说	一般來說	yi1 ban1 lai2 shuo1	generally speaking	4
一行	一行	yi1 xing2	party; delegation	6
一言一行	一言一行	yi1 yan2 yi1 xing2	every word and action (idiom)	7-9
一言不发	一言不發	yi1 yan2 bu4 fa1	to not say a word (idiom)	7-9
一贯	一貫	yi1 guan4	consistent; constant; from start to finish; all along; persistent	6
一起	一起	yi1 qi3	(in) the same place; together; in company (with); altogether; in total; an instance of; a case of (murder, accident, dispute etc)	1
